attempt,model,features,cv,target,r2_mean,r2_std,rmse_mean,rmse_std,rmse_unit
0,Baseline naive mean-predictor,full (26),,raw,0.0,,106966.31664045516,,PLN
1,XGBoost regularized,full (26),RepeatedKFold-5x10,raw,0.17495110392570495,0.4531910746015075,83598.55328125,23754.454450881472,PLN
2,XGBoost regularized tuned,full (26),RepeatedKFold-5x10,raw,0.1524714398384094,0.46521694544159614,84600.867734375,23254.9991153711,PLN
3,XGBoost regularized,correlated (9),RepeatedKFold-5x10,raw,0.12382099628448487,0.5233829837125582,85665.772421875,23337.777795219972,PLN
4,Linear (Ridge regularization) tuned,full (26),RepeatedKFold-5x10,log-transformed,0.03285555386315345,0.27122373159150337,0.3630028109805089,0.11427790614193824,log(PLN)
5,Linear (LASSO regularization) tuned,full (26),RepeatedKFold-5x10,log-transformed,-0.14068180157900467,0.4196147949970051,0.3874856029809392,0.11312891523845946,log(PLN)
6,SVM tuned,full (26),RepeatedKFold-5x10,log-transformed,-0.05274762587133373,0.18393475641770204,0.3830903922586642,0.11995764486024109,log(PLN)
7,XBoost regularized,extended with buildings data,RepeatedKFold-5x10,raw,0.13988614678382874,0.46589744856544363,85802.171796875,23212.173903407813,PLN
8,XBoost regularized,extended with signals per user,RepeatedKFold-5x10,raw,0.1804727840423584,0.39484855277301156,84344.720625,23801.08700215081,PLN
